month,seasonal_mean
2009-05-01,7.1869228795698925
2009-06-01,11.668802072727273
2009-07-01,15.34631270967742
2009-08-01,14.511796602150538
2009-09-01,11.38168985111111
2010-05-01,9.549919171774194
2010-06-01,12.58268317264151
2010-07-01,14.524704311827957
2010-08-01,14.985188786324786
2010-09-01,12.643090275
2011-05-01,7.590828848387097
2011-06-01,11.917023358024691
2011-07-01,15.89543011827957
2011-08-01,15.148714172043011
2011-09-01,11.783069422222223
2012-05-01,7.371945574193548
2012-06-01,11.5470740975
2012-07-01,13.339092794354839
2012-08-01,14.090158012096774
2012-09-01,11.37836033069307
2013-05-01,8.677715659649122
2013-06-01,13.648243051666666
2013-07-01,16.64962382038835
2013-08-01,16.004247318548387
2013-09-01,12.616034735
2014-05-01,12.271498023469388
2014-06-01,13.235788185
2014-07-01,15.913296383064516
2014-08-01,15.371629752212389
2014-09-01,12.712300922222223
2015-05-01,11.487690704301075
2015-06-01,14.995335892857144
2015-07-01,16.106589387096776
2015-08-01,15.93351139516129
2015-09-01,11.459055251666667
2016-05-01,11.584561403508772
2016-06-01,14.632951395833333
2016-07-01,16.90385420967742
2016-08-01,16.33286960887097
2016-09-01,13.287418350515464
2017-05-01,8.223774322580645
2017-06-01,11.628593754464285
2017-07-01,14.730961004032258
2017-08-01,15.134383739837398
2017-09-01,11.991821779166667
2018-05-01,9.016404556451613
2018-06-01,13.845695790816327
2018-07-01,17.02324826344086
2018-08-01,16.82008955194805
2018-09-01,13.85510382051282
2019-05-01,11.919059096774193
2019-06-01,16.158063121621623
2019-07-01,17.953776924731184
2019-08-01,17.068288521505377
2019-09-01,13.85876654347826
