month,seasonal_mean
14365,7.1869228795698925
14396,11.668802072727273
14426,15.34631270967742
14457,14.511796602150538
14488,11.38168985111111
14730,9.549919171774194
14761,12.58268317264151
14791,14.524704311827957
14822,14.985188786324786
14853,12.643090275
15095,7.590828848387097
15126,11.917023358024691
15156,15.89543011827957
15187,15.148714172043011
15218,11.783069422222223
15461,7.371945574193548
15492,11.5470740975
15522,13.339092794354839
15553,14.090158012096774
15584,11.37836033069307
15826,8.677715659649122
15857,13.648243051666666
15887,16.64962382038835
15918,16.004247318548387
15949,12.616034735
16191,12.271498023469388
16222,13.235788185
16252,15.913296383064516
16283,15.371629752212389
16314,12.712300922222223
16556,11.487690704301075
16587,14.995335892857144
16617,16.106589387096776
16648,15.93351139516129
16679,11.459055251666667
16922,11.584561403508772
16953,14.632951395833333
16983,16.90385420967742
17014,16.33286960887097
17045,13.287418350515464
17287,8.223774322580645
17318,11.628593754464285
17348,14.730961004032258
17379,15.134383739837398
17410,11.991821779166667
17652,9.016404556451613
17683,13.845695790816327
17713,17.02324826344086
17744,16.82008955194805
17775,13.85510382051282
18017,11.919059096774193
18048,16.158063121621623
18078,17.953776924731184
18109,17.068288521505377
18140,13.85876654347826
