"yearmonth","seasonal_mean"
2009-05-01,7.18692287956989
2009-06-01,11.6688020727273
2009-07-01,15.3463127096774
2009-08-01,14.5117966021505
2009-09-01,11.3816898511111
2010-05-01,9.54991917177419
2010-06-01,12.5826831726415
2010-07-01,14.524704311828
2010-08-01,14.9851887863248
2010-09-01,12.643090275
2011-05-01,7.5908288483871
2011-06-01,11.9170233580247
2011-07-01,15.8954301182796
2011-08-01,15.148714172043
2011-09-01,11.7830694222222
2012-05-01,7.37194557419355
2012-06-01,11.5470740975
2012-07-01,13.3390927943548
2012-08-01,14.0901580120968
2012-09-01,11.3783603306931
2013-05-01,8.67771565964912
2013-06-01,13.6482430516667
2013-07-01,16.6496238203883
2013-08-01,16.0042473185484
2013-09-01,12.616034735
2014-05-01,12.2714980234694
2014-06-01,13.235788185
2014-07-01,15.9132963830645
2014-08-01,15.3716297522124
2014-09-01,12.7123009222222
2015-05-01,11.4876907043011
2015-06-01,14.9953358928571
2015-07-01,16.1065893870968
2015-08-01,15.9335113951613
2015-09-01,11.4590552516667
2016-05-01,11.5845614035088
2016-06-01,14.6329513958333
2016-07-01,16.9038542096774
2016-08-01,16.332869608871
2016-09-01,13.2874183505155
2017-05-01,8.22377432258065
2017-06-01,11.6285937544643
2017-07-01,14.7309610040323
2017-08-01,15.1343837398374
2017-09-01,11.9918217791667
2018-05-01,9.01640455645161
2018-06-01,13.8456957908163
2018-07-01,17.0232482634409
2018-08-01,16.8200895519481
2018-09-01,13.8551038205128
2019-05-01,11.9190590967742
2019-06-01,16.1580631216216
2019-07-01,17.9537769247312
2019-08-01,17.0682885215054
2019-09-01,13.8587665434783
