year,annual_seasonal
2009,12.019104823047238
2010,12.857117143513697
2011,12.46701318379132
2012,11.54532616176765
2013,13.519172917050504
2014,13.9009026531937
2015,13.9964365262166
2016,14.548330993681201
2017,12.341906920016271
2018,14.112108396633943
2019,15.39159084162214
