year,annual_seasonal
2010,12.857117143513689
2011,12.467013183791318
2012,11.545326161767646
2013,13.519172917050504
2014,13.900902653193704
2015,13.99643652621659
2016,14.54833099368119
2017,12.341906920016251
2018,14.112108396633934
2019,15.391590841622127
