"","Juvenile Year","Total J/S"
"1",2009,"12.73499"
"2",2010,"12.42473"
"3",2011,"22.274619999999999"
"4",2012,"11.203010000000001"
"5",2013,"40.052010000000003"
"6",2014,"30.589749999999999"
"7",2015,"31.797260000000001"
"8",2016,"17.12519"
"9",2017,"11.74963"
"10",2018,"13.35059"
"11",2019,"5.2811430000000001"
